Git 的四大核心区域是什么？请按数据流转顺序排列。;<b>① 工作区（Working Directory）</b> — 你写代码的文件夹（比喻：书桌）<br><b>② 暂存区（Staging Area）</b> — 准备提交的过渡区域（比喻：待归档文件夹）<br><b>③ 本地仓库（Local Repository）</b> — 本地的完整代码历史（比喻：保险柜）<br><b>④ 远程仓库（Remote Repository）</b> — 团队共享的云端仓库（比喻：云端网盘）<br><br>数据流转：工作区 →[git add]→ 暂存区 →[git commit]→ 本地仓库 →[git push]→ 远程仓库;Git-基础概念
Git 中 commit（提交）的本质是什么？;给当前暂存区的所有改动<b>拍一张完整快照</b>，永久存档到本地仓库。<br><br>每次 commit 会生成：<br>• 唯一编号（commit hash，类似身份证号）<br>• 作者、时间<br>• 你写的说明（commit message）<br><br>比喻：游戏里的「存档点」——可以随时读档回到这个状态。;Git-基础概念
Git 的「分支」本质上是什么？为什么 Git 的分支操作比 SVN 快得多？;Git 分支本质是<b>一个指向某次提交的轻量指针</b>，不是完整的代码拷贝。<br><br>创建/切换分支 = 移动一个指针，几乎瞬间完成。<br>SVN 的分支是<b>完整的目录拷贝</b>，创建慢、占用空间大。;Git-基础概念
Git 和 SVN 最核心的架构区别是什么？断网时分别会怎样？;<b>SVN = 集中式</b>：所有历史只在中央服务器上。断网 = 完全无法提交代码。<br><br><b>Git = 分布式</b>：每个人电脑上都有完整的仓库副本。断网也能正常 commit，联网后再 push 同步。<br><br>比喻：SVN 像全班只有老师有答案册，Git 像每个同学都有完整答案册。;Git-基础概念
Git 中「合并（merge）」的含义是什么？;把一个分支上的改动<b>合回到另一个分支</b>，让目标分支包含两边的代码。<br><br>比喻：把草稿上写得好的新章节，正式抄写到主稿里。<br>如果两边改了同一行代码，会产生<b>冲突（Conflict）</b>，需要手动决定保留哪个版本。;Git-基础概念
版本控制系统解决了企业开发中哪些核心痛点？（列举4个）;① <b>代码互相覆盖</b> — 多人改同一文件，后保存的覆盖前保存的<br>② <b>文件命名地狱</b> — 最终版/最终版2/打死不改版……分不清哪个是最新的<br>③ <b>线上 Bug 无法回滚</b> — 昨天的稳定版代码被覆盖了，找不回来<br>④ <b>多人协作靠吼</b> — 全靠口头沟通，有人忘记说就出问题;Git-基础概念
入职新公司第一天，配置 Git 身份信息的两条必做命令是什么？;"<code>git config --global user.name ""你的名字""</code><br><code>git config --global user.email ""你的公司邮箱""</code><br><br>⚠️ <code>--global</code> = 对所有仓库生效。如果同一电脑有公司+个人项目，可以在特定项目目录下不带 --global 单独配置。";Git-命令实战
git add 在企业中的最佳实践是什么？为什么不建议直接 git add . ？;<b>最佳实践</b>：先 <code>git status</code> 检查改了哪些文件，然后有针对性地 <code>git add 具体文件名</code>。<br><br><b>不推荐 git add .</b> 的原因：可能不小心把调试临时代码、本地配置文件、甚至密码密钥一起提交上去。<br><br>企业里要求「一次提交只做一件事」，需要分批次 add 和 commit。;Git-命令实战
git status -s 输出中，各符号的含义是什么？<br>M（左）、M（右）、??、A、D;<b>M </b>（M在左边）= 已暂存的修改，会在下次 commit 中包含<br><b> M</b>（M在右边）= 未暂存的修改，还没 add<br><b>??</b> = 新文件，Git 还没跟踪（Untracked）<br><b>A </b> = 新增文件，已暂存<br><b>D </b> = 文件被删除;Git-命令实战
企业 commit message 规范中，以下前缀分别代表什么？<br>feat / fix / docs / style / refactor / test / chore / revert;<b>feat</b> = 新功能<br><b>fix</b> = 修复 Bug<br><b>docs</b> = 文档修改<br><b>style</b> = 代码格式调整（不影响逻辑）<br><b>refactor</b> = 代码重构（不改功能）<br><b>test</b> = 测试相关<br><b>chore</b> = 构建/工具链等杂项<br><b>revert</b> = 回滚提交;Git-命令实战
